https://www.wsj.com/market-data/quotes/fx/EURUSD/historical-prices#
Date, Open, High, Low, Close
05/03/22, 1.0507, 1.0578, 1.0493, 1.0519
05/02/22, 1.0558, 1.0566, 1.0491, 1.0509
04/29/22, 1.0496, 1.0593, 1.0492, 1.0550
04/28/22, 1.0558, 1.0566, 1.0473, 1.0499
04/27/22, 1.0638, 1.0656, 1.0515, 1.0559
04/26/22, 1.0712, 1.0739, 1.0635, 1.0637
04/25/22, 1.0835, 1.0835, 1.0697, 1.0714
04/22/22, 1.0836, 1.0853, 1.0771, 1.0800
04/21/22, 1.0855, 1.0937, 1.0824, 1.0835
04/20/22, 1.0789, 1.0868, 1.0783, 1.0857
04/19/22, 1.0782, 1.0816, 1.0761, 1.0788
04/18/22, 1.0801, 1.0822, 1.0770, 1.0781
04/15/22, 1.0830, 1.0834, 1.0796, 1.0814
04/14/22, 1.0890, 1.0924, 1.0759, 1.0831
04/13/22, 1.0828, 1.0896, 1.0810, 1.0892
04/12/22, 1.0884, 1.0904, 1.0821, 1.0829
04/11/22, 1.0917, 1.0935, 1.0873, 1.0885
04/08/22, 1.0880, 1.0893, 1.0837, 1.0876
04/07/22, 1.0895, 1.0938, 1.0865, 1.0879
04/06/22, 1.0906, 1.0938, 1.0875, 1.0897
04/05/22, 1.0976, 1.0990, 1.0899, 1.0904
04/04/22, 1.1039, 1.1056, 1.0960, 1.0974
04/01/22, 1.1067, 1.1078, 1.1027, 1.1045
03/31/22, 1.1159, 1.1185, 1.1060, 1.1066
03/30/22, 1.1086, 1.1172, 1.1082, 1.1160
03/29/22, 1.0983, 1.1139, 1.0971, 1.1087
03/28/22, 1.0984, 1.1000, 1.0944, 1.0987
03/25/22, 1.0998, 1.1039, 1.0980, 1.0981
03/24/22, 1.1004, 1.1015, 1.0970, 1.0997
03/23/22, 1.1029, 1.1044, 1.0964, 1.1005
03/22/22, 1.1018, 1.1046, 1.0960, 1.1030
03/21/22, 1.1072, 1.1072, 1.1010, 1.1017
03/18/22, 1.1092, 1.1119, 1.1004, 1.1051
03/17/22, 1.1036, 1.1139, 1.1009, 1.1094
03/16/22, 1.0956, 1.1047, 1.0949, 1.1035
03/15/22, 1.0940, 1.1020, 1.0926, 1.0957
03/14/22, 1.0920, 1.0995, 1.0901, 1.0941
03/11/22, 1.0986, 1.1043, 1.0903, 1.0915
03/10/22, 1.1077, 1.1120, 1.0977, 1.0990
03/09/22, 1.0899, 1.1096, 1.0891, 1.1076
03/08/22, 1.0855, 1.0959, 1.0850, 1.0898
03/07/22, 1.0928, 1.0932, 1.0808, 1.0856
03/04/22, 1.1066, 1.1073, 1.0891, 1.0935
03/03/22, 1.1119, 1.1123, 1.1035, 1.1065
03/02/22, 1.1128, 1.1142, 1.1059, 1.1120
03/01/22, 1.1219, 1.1234, 1.1091, 1.1124
02/28/22, 1.1139, 1.1245, 1.1122, 1.1220
02/25/22, 1.1194, 1.1276, 1.1166, 1.1273
02/24/22, 1.1307, 1.1313, 1.1108, 1.1195
02/23/22, 1.1326, 1.1361, 1.1300, 1.1305
02/22/22, 1.1316, 1.1366, 1.1288, 1.1324
02/21/22, 1.1317, 1.1386, 1.1306, 1.1312
02/18/22, 1.1362, 1.1378, 1.1315, 1.1321
02/17/22, 1.1374, 1.1387, 1.1323, 1.1361
02/16/22, 1.1361, 1.1397, 1.1344, 1.1375
02/15/22, 1.1307, 1.1369, 1.1302, 1.1360
02/14/22, 1.1352, 1.1369, 1.1281, 1.1306
02/11/22, 1.1428, 1.1433, 1.1329, 1.1349
02/10/22, 1.1426, 1.1496, 1.1378, 1.1427
02/09/22, 1.1419, 1.1447, 1.1402, 1.1425
02/08/22, 1.1443, 1.1450, 1.1397, 1.1418
02/07/22, 1.1468, 1.1468, 1.1416, 1.1442
02/04/22, 1.1440, 1.1484, 1.1413, 1.1448
02/03/22, 1.1303, 1.1451, 1.1269, 1.1438
